,Source IP,S City,S Region,S Country,S Lat,S Long,Destination IP,D City,D Region,D Country,D Lat,D Long
0,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.255,Unknown,Unknown,Unknown,Unknown,Unknown
1,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.255,Unknown,Unknown,Unknown,Unknown,Unknown
2,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.255,Unknown,Unknown,Unknown,Unknown,Unknown
3,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown
4,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
5,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown
6,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
7,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,239.255.255.250,Unknown,Unknown,Unknown,Unknown,Unknown
8,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown
9,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,224.0.0.22,Unknown,Unknown,Unknown,Unknown,Unknown
10,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,239.255.255.250,Unknown,Unknown,Unknown,Unknown,Unknown
11,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
12,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412
13,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.255,Unknown,Unknown,Unknown,Unknown,Unknown
14,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.255,Unknown,Unknown,Unknown,Unknown,Unknown
15,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.255,Unknown,Unknown,Unknown,Unknown,Unknown
16,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
17,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412
18,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412
19,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
20,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown
21,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
22,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127
23,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
24,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
25,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412
26,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
